,Column,Fuel,Technology,Outputactivity,ModeofOperation
375,0,EL3_114_1,BACKSTOP,0.865,1
376,0,EL3_114_0,TRLV_114_0,0.865,1
377,0,EL3_114_0,BACKSTOP,0.865,1
378,0,EL3_114_1,KEEL00d_114,0.865,1
379,0,EL3_114_1,SOPV12h_114_1,1.0,1
380,0,EL3_114_0,SOPV12h_114_0,1.0,1
381,0,EL3_114_1,SOPV8h_114_1,1.0,1
382,0,EL3_114_0,SOPV8h_114_0,1.0,1
383,0,EL3_114_1,SOPV_114_1,1.0,1
384,0,EL3_114_0,SOPV_114_0,1.0,1
385,0,EL3_117_1,TRLV_117_1,0.865,1
386,0,EL3_117_1,BACKSTOP,0.865,1
387,0,EL3_117_0,TRLV_117_0,0.865,1
388,0,EL3_117_0,BACKSTOP,0.865,1
389,0,EL3_117_1,KEEL00d_117,0.865,1
390,0,EL3_117_1,SOPV12h_117_1,1.0,1
391,0,EL3_117_0,SOPV12h_117_0,1.0,1
392,0,EL3_117_1,SOPV8h_117_1,1.0,1
393,0,EL3_117_0,SOPV8h_117_0,1.0,1
394,0,EL3_117_1,SOPV_117_1,1.0,1
395,0,EL3_117_0,SOPV_117_0,1.0,1
396,0,EL3_120_1,TRLV_120_1,0.865,1
397,0,EL3_120_1,BACKSTOP,0.865,1
398,0,EL3_120_0,TRLV_120_0,0.865,1
399,0,EL3_120_0,BACKSTOP,0.865,1
400,0,EL3_120_1,KEEL00d_120,0.865,1
401,0,EL3_120_1,SOPV12h_120_1,1.0,1
402,0,EL3_120_0,SOPV12h_120_0,1.0,1
403,0,EL3_120_1,SOPV8h_120_1,1.0,1
404,0,EL3_120_0,SOPV8h_120_0,1.0,1
405,0,EL3_120_1,SOPV_120_1,1.0,1
406,0,EL3_120_0,SOPV_120_0,1.0,1
407,0,EL3_122_1,TRLV_122_1,0.865,1
408,0,EL3_122_1,BACKSTOP,0.865,1
409,0,EL3_122_0,TRLV_122_0,0.865,1
410,0,EL3_122_0,BACKSTOP,0.865,1
411,0,EL3_122_1,KEEL00d_122,0.865,1
412,0,EL3_122_1,SOPV12h_122_1,1.0,1
413,0,EL3_122_0,SOPV12h_122_0,1.0,1
414,0,EL3_122_1,SOPV8h_122_1,1.0,1
415,0,EL3_122_0,SOPV8h_122_0,1.0,1
416,0,EL3_122_1,SOPV_122_1,1.0,1
417,0,EL3_122_0,SOPV_122_0,1.0,1
418,0,EL3_123_1,TRLV_123_1,0.865,1
419,0,EL3_123_1,BACKSTOP,0.865,1
420,0,EL3_123_0,TRLV_123_0,0.865,1
421,0,EL3_123_0,BACKSTOP,0.865,1
422,0,EL3_123_1,KEEL00d_123,0.865,1
423,0,EL3_123_1,SOPV12h_123_1,1.0,1
424,0,EL3_123_0,SOPV12h_123_0,1.0,1
425,0,EL3_123_1,SOPV8h_123_1,1.0,1
426,0,EL3_123_0,SOPV8h_123_0,1.0,1
427,0,EL3_123_1,SOPV_123_1,1.0,1
428,0,EL3_123_0,SOPV_123_0,1.0,1
429,0,EL3_126_1,TRLV_126_1,0.865,1
430,0,EL3_126_1,BACKSTOP,0.865,1
431,0,EL3_126_0,TRLV_126_0,0.865,1
432,0,EL3_126_0,BACKSTOP,0.865,1
433,0,EL3_126_1,KEEL00d_126,0.865,1
434,0,EL3_126_1,SOPV12h_126_1,1.0,1
435,0,EL3_126_0,SOPV12h_126_0,1.0,1
436,0,EL3_126_1,SOPV8h_126_1,1.0,1
437,0,EL3_126_0,SOPV8h_126_0,1.0,1
438,0,EL3_126_1,SOPV_126_1,1.0,1
439,0,EL3_126_0,SOPV_126_0,1.0,1
440,0,EL3_127_1,TRLV_127_1,0.865,1
441,0,EL3_127_1,BACKSTOP,0.865,1
442,0,EL3_127_0,TRLV_127_0,0.865,1
443,0,EL3_127_0,BACKSTOP,0.865,1
444,0,EL3_127_1,KEEL00d_127,0.865,1
445,0,EL3_127_1,SOPV12h_127_1,1.0,1
446,0,EL3_127_0,SOPV12h_127_0,1.0,1
447,0,EL3_127_1,SOPV8h_127_1,1.0,1
448,0,EL3_127_0,SOPV8h_127_0,1.0,1
449,0,EL3_127_1,SOPV_127_1,1.0,1
450,0,EL3_127_0,SOPV_127_0,1.0,1
451,0,EL3_128_1,TRLV_128_1,0.865,1
