,Column,Fuel,Technology,Inputactivity,ModeofOperation
1205,0,SOLAR_233,SOPV_233_1,1,1
1206,0,SOLAR_233,SOPV_233_0,1,1
1207,0,SOLAR_233,SOPV8h_233_1,1,1
1208,0,SOLAR_233,SOPV8h_233_0,1,1
1209,0,SOLAR_233,SOPV12h_233_1,1,1
1221,0,SOLAR_237,SOPV12h_237_0,1,1
1211,0,KEEL2_233,TRLV_233_1,1,1
1212,0,KEEL2_233,TRLV_233_0,1,1
1213,0,EL2_237,TRLV_237_1,1,1
1214,0,EL2_237,TRLV_237_0,1,1
1215,0,KEEL2,KEEL00d_237,1,1
1216,0,SOLAR_237,SOPV_237_1,1,1
1217,0,SOLAR_237,SOPV_237_0,1,1
1218,0,SOLAR_237,SOPV8h_237_1,1,1
1219,0,SOLAR_237,SOPV8h_237_0,1,1
1220,0,SOLAR_237,SOPV12h_237_1,1,1
1232,0,SOLAR_238,SOPV12h_238_0,1,1
1222,0,KEEL2_237,TRLV_237_1,1,1
1223,0,KEEL2_237,TRLV_237_0,1,1
1224,0,EL2_238,TRLV_238_1,1,1
1225,0,EL2_238,TRLV_238_0,1,1
1226,0,KEEL2,KEEL00d_238,1,1
1227,0,SOLAR_238,SOPV_238_1,1,1
1228,0,SOLAR_238,SOPV_238_0,1,1
1229,0,SOLAR_238,SOPV8h_238_1,1,1
1230,0,SOLAR_238,SOPV8h_238_0,1,1
1231,0,SOLAR_238,SOPV12h_238_1,1,1
1243,0,SOLAR_239,SOPV12h_239_0,1,1
1233,0,KEEL2_238,TRLV_238_1,1,1
1234,0,KEEL2_238,TRLV_238_0,1,1
1235,0,EL2_239,TRLV_239_1,1,1
1236,0,EL2_239,TRLV_239_0,1,1
1237,0,KEEL2,KEEL00d_239,1,1
1238,0,SOLAR_239,SOPV_239_1,1,1
1239,0,SOLAR_239,SOPV_239_0,1,1
1240,0,SOLAR_239,SOPV8h_239_1,1,1
1241,0,SOLAR_239,SOPV8h_239_0,1,1
1242,0,SOLAR_239,SOPV12h_239_1,1,1
1254,0,SOLAR_240,SOPV12h_240_0,1,1
1244,0,KEEL2_239,TRLV_239_1,1,1
1245,0,KEEL2_239,TRLV_239_0,1,1
1246,0,EL2_240,TRLV_240_1,1,1
1247,0,EL2_240,TRLV_240_0,1,1
1248,0,KEEL2,KEEL00d_240,1,1
1249,0,SOLAR_240,SOPV_240_1,1,1
1250,0,SOLAR_240,SOPV_240_0,1,1
1251,0,SOLAR_240,SOPV8h_240_1,1,1
1252,0,SOLAR_240,SOPV8h_240_0,1,1
1253,0,SOLAR_240,SOPV12h_240_1,1,1
1265,0,SOLAR_241,SOPV12h_241_0,1,1
1255,0,KEEL2_240,TRLV_240_1,1,1
1256,0,KEEL2_240,TRLV_240_0,1,1
1257,0,EL2_241,TRLV_241_1,1,1
1258,0,EL2_241,TRLV_241_0,1,1
1259,0,KEEL2,KEEL00d_241,1,1
1260,0,SOLAR_241,SOPV_241_1,1,1
1261,0,SOLAR_241,SOPV_241_0,1,1
1262,0,SOLAR_241,SOPV8h_241_1,1,1
1263,0,SOLAR_241,SOPV8h_241_0,1,1
1264,0,SOLAR_241,SOPV12h_241_1,1,1
1276,0,SOLAR_242,SOPV12h_242_0,1,1
1266,0,KEEL2_241,TRLV_241_1,1,1
1267,0,KEEL2_241,TRLV_241_0,1,1
1268,0,EL2_242,TRLV_242_1,1,1
1269,0,EL2_242,TRLV_242_0,1,1
1270,0,KEEL2,KEEL00d_242,1,1
1271,0,SOLAR_242,SOPV_242_1,1,1
1272,0,SOLAR_242,SOPV_242_0,1,1
1273,0,SOLAR_242,SOPV8h_242_1,1,1
1274,0,SOLAR_242,SOPV8h_242_0,1,1
1275,0,SOLAR_242,SOPV12h_242_1,1,1
1287,0,SOLAR_243,SOPV12h_243_0,1,1
